"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"1","sanitam01",2011,1,"NYA","AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","murrage01",1924,1,"BOS","AL",28,22,2,4,1,0,0,1,0,0,1,10,NA,0,1,NA,NA
"3","wallmu01",1959,1,"BOS","AL",15,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"4","ringro01",2010,1,"NYA","AL",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","duranlu01",2009,1,"SDN","NL",9,11,3,6,0,0,0,0,2,1,2,2,0,0,1,0,0
"6","schmijo01",1953,2,"WS1","AL",24,34,0,2,0,0,0,0,0,0,0,13,NA,0,3,NA,0
"7","snidedu01",1950,1,"BRO","NL",152,620,109,199,31,10,31,107,16,NA,58,79,NA,0,6,NA,9
"8","verhojo01",1977,1,"CAL","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","carrocl02",1967,1,"ATL","NL",42,16,0,1,0,0,0,1,0,0,1,5,0,0,2,0,0
"10","saboal01",1937,1,"WS1","AL",1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA
"11","solanju01",1983,1,"HOU","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","wilsoga03",1995,1,"PIT","NL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13","igarary01",2012,1,"TOR","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","kleinlo01",1943,1,"SLN","NL",154,627,91,180,28,14,7,62,9,NA,50,70,NA,2,15,NA,4
"15","mullipa01",1947,1,"DET","AL",116,398,62,102,28,6,15,62,3,8,63,66,NA,1,5,NA,6
"16","cainbo01",1953,1,"SLA","AL",34,30,3,6,2,0,0,2,0,0,1,3,NA,0,0,NA,1
"17","lonboji01",1972,1,"ML4","AL",33,69,1,10,0,0,0,3,0,0,4,29,0,0,9,0,1
"18","smithma03",2003,1,"MIL","NL",33,63,8,15,4,0,3,10,0,0,4,13,0,0,0,2,5
"19","ritteha01",1912,1,"PHI","NL",3,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA
"20","servasc01",1998,1,"CHN","NL",113,325,35,72,15,1,7,36,1,0,26,51,6,5,3,1,12
"21","henshro01",1935,1,"CHN","NL",31,51,5,13,1,0,0,2,0,NA,1,11,NA,0,5,NA,0
"22","maysca01",1923,1,"NYA","AL",23,27,2,4,0,1,1,3,0,0,3,4,NA,0,1,NA,NA
"23","shaffor01",1880,1,"CL2","NL",83,338,62,90,14,9,0,21,NA,NA,17,36,NA,NA,NA,NA,NA
"24","creekdo01",1996,1,"SFN","NL",63,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"25","clarkro02",1975,1,"PHI","NL",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"26","glossal01",1940,2,"BSN","NL",60,148,17,35,2,1,3,14,1,NA,17,22,NA,0,0,NA,2
"27","keougma02",1982,1,"OAK","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","mcilwst01",1958,1,"CHA","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","brownke02",1990,1,"CIN","NL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","maglisa01",1953,1,"NY1","NL",27,48,6,13,1,0,0,9,0,0,2,13,NA,0,6,NA,3
"31","plantph01",1995,1,"HOU","NL",22,68,12,17,2,0,4,15,0,0,11,19,1,1,0,3,0
"32","bonifem01",2009,1,"FLO","NL",127,461,72,116,11,6,1,27,21,9,34,95,0,2,8,4,5
"33","carroow01",1925,1,"DET","AL",11,16,4,6,1,0,0,4,0,0,0,1,NA,0,0,NA,NA
"34","santira01",2009,1,"DET","AL",93,262,29,70,6,2,7,35,1,2,17,57,1,4,10,3,3
"35","cordewi01",2002,2,"MON","NL",66,143,21,39,9,0,6,29,2,0,17,26,0,2,0,4,3
"36","posedbi01",1938,1,"BRO","NL",33,44,3,10,1,0,0,1,0,NA,2,8,NA,0,4,NA,1
"37","lambege01",1942,1,"PHI","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","bottoji01",1929,1,"SLN","NL",146,560,108,176,31,12,29,137,3,NA,70,54,NA,1,17,NA,NA
"39","baineha01",1984,1,"CHA","AL",147,569,72,173,28,10,29,94,1,2,54,75,9,0,1,5,12
"40","buddido01",1958,1,"BOS","AL",136,497,74,118,25,2,12,43,0,4,82,106,1,4,9,2,13
"41","heilmha01",1926,1,"DET","AL",141,502,90,184,41,8,9,103,6,7,67,19,NA,4,25,NA,NA
"42","huttoto01",1978,1,"TOR","AL",64,173,19,44,9,0,2,9,1,2,19,11,0,0,5,0,5
"43","crandde01",1965,1,"PIT","NL",60,140,11,30,2,0,2,10,1,0,14,10,7,1,1,1,3
"44","rosepe01",1963,1,"CIN","NL",157,623,101,170,25,9,6,41,13,15,55,72,0,5,6,6,8
"45","huttoto01",1981,1,"MON","NL",31,29,1,3,0,0,0,2,0,0,2,1,0,0,0,0,0
"46","torreri01",1920,1,"WS1","AL",16,30,8,10,1,0,0,3,0,0,1,4,NA,0,0,NA,NA
"47","allenbe01",1973,1,"NYA","AL",17,57,5,13,3,0,0,4,0,0,5,5,1,0,0,0,1
"48","clarkto02",1995,1,"DET","AL",27,101,10,24,5,1,3,11,0,0,8,30,0,0,0,0,2
"49","pearsal02",1964,1,"LAA","AL",107,265,34,59,5,1,2,16,6,4,35,22,2,1,4,0,4
"50","macharo01",2002,2,"MIL","NL",51,153,14,39,10,1,2,17,0,0,12,30,4,1,1,2,5
"51","mitchwi01",1909,1,"CLE","AL",3,7,1,2,0,0,0,0,0,NA,1,NA,NA,0,0,NA,NA
"52","sullibi04",1941,1,"DET","AL",85,234,29,66,15,1,3,29,0,3,35,11,NA,0,0,NA,5
"53","jacksla01",1966,1,"CHN","NL",3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"54","hodgeke01",2000,1,"SEA","AL",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","florepa01",1926,1,"NY1","NL",76,188,19,43,4,3,2,14,2,NA,23,12,NA,3,2,NA,NA
"56","summech01",1977,1,"CIN","NL",59,76,11,13,4,0,3,6,0,0,6,16,1,1,0,1,3
"57","carroja01",2012,1,"MIN","AL",138,470,65,126,18,1,1,40,9,5,52,65,0,4,7,4,9
"58","elybo01",1890,1,"SR2","AA",119,496,72,130,16,6,0,64,44,NA,31,NA,NA,2,NA,NA,NA
