"","pclass","survived","sex","age","sibsp","parch","fare","embarked"
"1","Upper","No","male",45,1,0,83.475,"S"
"3","Lower","No","male",40.5,0,0,15.1,"S"
"4","Lower","No","male",25,0,0,7.7417,"Q"
"6","Lower","No","male",32,0,0,8.3625,"S"
"7","Upper","Yes","female",24,0,0,69.3,"C"
"8","Upper","Yes","female",35,0,0,512.3292,"C"
"9","Lower","Yes","female",2,0,1,12.2875,"S"
"10","Lower","No","male",22,0,0,8.05,"S"
"12","Lower","No","male",28,0,0,7.7958,"S"
"13","Middle","No","male",54,1,0,26,"S"
"14","Lower","Yes","male",29,0,0,9.5,"S"
"15","Middle","No","male",31,1,1,26.25,"S"
"16","Lower","No","male",28,0,0,22.525,"S"
"17","Middle","Yes","female",25,1,1,30,"S"
"18","Middle","Yes","female",19,0,0,13,"S"
"20","Upper","No","male",40,0,0,27.7208,"C"
"21","Middle","No","male",18,0,0,10.5,"S"
"22","Middle","No","male",32,0,0,13,"S"
"24","Upper","No","male",33,0,0,5,"S"
"25","Upper","Yes","female",43,1,0,55.4417,"C"
"26","Lower","Yes","female",24,0,0,7.75,"Q"
"27","Lower","Yes","male",32,0,0,56.4958,"S"
"29","Lower","Yes","male",39,0,0,7.925,"S"
"30","Upper","No","male",49,0,0,26,"S"
"31","Middle","Yes","female",40,0,0,15.75,"S"
"32","Middle","No","male",28,0,0,26,"S"
"33","Lower","No","male",51,0,0,7.75,"S"
"34","Lower","Yes","female",45,0,0,7.225,"C"
"35","Upper","Yes","female",30,0,0,93.5,"S"
"36","Lower","No","female",45,0,0,7.75,"S"
"38","Middle","Yes","female",36,1,0,26,"S"
"39","Lower","Yes","female",63,0,0,9.5875,"S"
"40","Lower","Yes","male",6,0,1,12.475,"S"
"41","Lower","No","female",21,0,0,7.75,"Q"
"43","Middle","Yes","female",18,0,1,23,"S"
"44","Lower","No","male",16,0,0,7.775,"S"
"45","Middle","No","male",26,0,0,10.5,"S"
"46","Lower","No","male",26,0,0,7.8958,"S"
"47","Lower","No","male",11,0,0,18.7875,"C"
"48","Lower","Yes","female",18,0,1,9.35,"S"
"49","Upper","No","male",21,0,1,77.2875,"S"
"50","Lower","No","male",39,0,0,24.15,"S"
"51","Upper","Yes","female",17,1,0,57,"S"
"52","Lower","No","female",31,1,0,18,"S"
"54","Lower","No","male",20,0,0,7.8542,"S"
"55","Upper","Yes","female",58,0,0,146.5208,"C"
"56","Lower","No","male",26,0,0,7.775,"S"
"57","Lower","No","male",35,0,0,8.05,"S"
"59","Upper","Yes","female",39,0,0,108.9,"C"
"60","Lower","Yes","female",18,0,0,7.775,"S"
"62","Upper","No","male",28,0,0,47.1,"S"
"63","Lower","No","male",36,1,1,24.15,"S"
"64","Upper","Yes","female",50,0,1,247.5208,"C"
"66","Lower","No","female",25,1,0,7.925,"S"
"69","Upper","Yes","male",27,1,0,53.1,"S"
"70","Lower","No","male",17,0,0,8.6625,"S"
"71","Upper","No","male",40,0,0,0,"S"
"72","Lower","No","male",14,4,1,39.6875,"S"
"73","Upper","Yes","female",32,0,0,76.2917,"C"
"74","Lower","No","female",18,2,0,18,"S"
"75","Upper","Yes","female",24,3,2,263,"S"
"76","Lower","No","male",9,4,2,31.3875,"S"
"78","Upper","Yes","male",51,0,0,26.55,"S"
"79","Middle","No","male",18,0,0,73.5,"S"
"80","Lower","No","male",41,0,0,7.85,"S"
"82","Middle","No","male",23,1,0,10.5,"S"
"83","Upper","No","male",58,0,0,29.7,"C"
"84","Lower","No","female",27,0,0,7.8792,"Q"
"85","Upper","Yes","male",45,0,0,26.55,"S"
"86","Lower","No","female",8,3,1,21.075,"S"
"87","Middle","No","male",30,1,1,26,"S"
"88","Middle","Yes","female",31,1,1,26.25,"S"
"89","Upper","Yes","female",16,0,0,86.5,"S"
"90","Lower","No","male",16,0,0,9.2167,"S"
"91","Upper","Yes","male",36,0,0,26.2875,"S"
"92","Lower","No","male",2,3,1,21.075,"S"
"93","Upper","Yes","female",35,1,0,52,"S"
"94","Upper","Yes","female",44,0,1,57.9792,"C"
"95","Upper","Yes","female",35,1,0,53.1,"S"
"96","Lower","Yes","female",19,1,0,7.8542,"S"
"97","Middle","No","male",19,0,0,13,"S"
"98","Upper","Yes","female",30,0,0,164.8667,"S"
"99","Middle","No","male",29,0,0,10.5,"S"
"100","Lower","No","male",33,0,0,7.775,"S"
"101","Upper","Yes","female",59,2,0,51.4792,"S"
"103","Lower","Yes","male",22,0,0,7.225,"C"
"104","Upper","No","male",55,1,0,59.4,"C"
"105","Upper","Yes","female",51,1,0,77.9583,"S"
"106","Middle","Yes","female",24,1,0,27.7208,"C"
"107","Upper","Yes","female",55,0,0,27.7208,"C"
"108","Upper","No","male",42,0,0,42.5,"S"
"109","Middle","Yes","male",22,0,0,10.5,"S"
"112","Upper","Yes","male",43,1,0,27.7208,"C"
"114","Upper","Yes","male",48,1,0,76.7292,"C"
"115","Upper","No","male",50,1,0,55.9,"S"
"116","Lower","No","female",23,0,0,8.6625,"S"
"118","Middle","No","male",23,0,0,10.5,"S"
"121","Lower","No","male",48,0,0,7.8542,"S"
"122","Lower","Yes","male",32,0,0,7.775,"S"
"124","Lower","No","male",21,0,0,7.925,"S"
"125","Middle","No","male",40,0,0,13,"S"
"126","Middle","No","male",51,0,0,12.525,"S"
"127","Lower","Yes","female",16,1,1,8.5167,"C"
"128","Middle","No","male",66,0,0,10.5,"S"
"129","Middle","Yes","female",29,1,0,26,"S"
"130","Middle","No","male",28,0,0,13,"S"
"131","Lower","No","male",24,0,0,8.6625,"S"
"132","Lower","Yes","male",29,0,0,7.75,"Q"
"133","Upper","Yes","female",35,1,0,83.475,"S"
"134","Middle","No","male",40,0,0,16,"S"
"136","Middle","Yes","male",3,1,1,18.75,"S"
